season,yr,mnth,holiday,weekday,workingday,weathersit,temp,hum,windspeed,casual,registered,cnt,days_since_01_01_2011
1,0,1,0,6,0,2,8.175849,0.805833,0.160446,331,654,985,0
1,0,1,0,0,0,2,9.083466,0.696087,0.248539,131,670,801,1
1,0,1,0,1,1,1,1.229108,0.437273,0.248309,120,1229,1349,2
1,0,1,0,2,1,1,1.4000000000000004,0.590435,0.160296,108,1454,1562,3
1,0,1,0,3,1,1,2.6669789999999995,0.436957,0.1869,82,1518,1600,4
1,0,1,0,4,1,1,1.6043559999999992,0.518261,0.0895652,88,1518,1606,5
1,0,1,0,5,1,2,1.236534000000001,0.498696,0.168726,148,1362,1510,6
1,0,1,0,6,0,2,-0.2449999999999992,0.535833,0.266804,68,891,959,7
1,0,1,0,0,0,1,-1.4983489999999993,0.434167,0.36195,54,768,822,8
1,0,1,0,1,1,1,-0.9108490000000008,0.482917,0.223267,41,1280,1321,9
1,0,1,0,2,1,2,-0.0527230000000003,0.686364,0.122132,43,1220,1263,10
1,0,1,0,3,1,1,0.1181689999999999,0.599545,0.304627,25,1137,1162,11
1,0,1,0,4,1,1,-0.2449999999999992,0.470417,0.301,38,1368,1406,12
1,0,1,0,5,1,1,-0.4391099999999994,0.537826,0.126548,54,1367,1421,13
1,0,1,0,6,0,2,2.9666510000000006,0.49875,0.157963,222,1026,1248,14
1,0,1,0,0,0,1,2.888349,0.48375,0.188433,251,953,1204,15
1,0,1,1,1,0,2,0.264151,0.5375,0.194017,117,883,1000,16
1,0,1,0,2,1,2,2.183349,0.861667,0.146775,9,674,683,17
1,0,1,0,3,1,2,5.732177999999999,0.741739,0.208317,78,1572,1650,18
1,0,1,0,4,1,2,4.298349,0.538333,0.195904,83,1844,1927,19
1,0,1,0,5,1,1,0.3424999999999993,0.457083,0.353242,75,1468,1543,20
1,0,1,0,6,0,1,-5.2208712,0.4,0.17197,93,888,981,21
1,0,1,0,0,0,1,-3.4634801,0.436522,0.2466,150,836,986,22
1,0,1,0,1,1,1,-3.4226089,0.491739,0.15833,86,1330,1416,23
1,0,1,0,2,1,2,2.5034660000000013,0.616957,0.129796,186,1799,1985,24
1,0,1,0,3,1,3,2.2225,0.8625,0.29385,34,472,506,25
1,0,1,0,4,1,1,1.165000000000001,0.6875,0.113837,15,416,431,26
1,0,1,0,5,1,2,1.563466,0.793043,0.1233,38,1129,1167,27
1,0,1,0,6,0,1,1.236534000000001,0.651739,0.145365,123,975,1098,28
1,0,1,0,0,0,1,2.176534,0.722174,0.0739826,140,956,1096,29
1,0,1,0,1,1,2,0.4991509999999994,0.60375,0.187192,42,1459,1501,30
1,0,2,0,2,1,2,1.032178,0.829565,0.053213,47,1313,1360,31
1,0,2,0,3,1,2,4.220000000000001,0.775417,0.264308,72,1454,1526,32
1,0,2,0,4,1,1,0.7869790000000005,0.437826,0.277752,61,1489,1550,33
1,0,2,0,5,1,2,1.9312880000000003,0.585217,0.127839,88,1620,1708,34
1,0,2,0,6,0,2,2.9666510000000006,0.929167,0.161079,100,905,1005,35
1,0,2,0,0,0,1,5.434151,0.568333,0.1418,354,1269,1623,36
1,0,2,0,1,1,1,4.768348999999999,0.738333,0.0454083,120,1592,1712,37
1,0,2,0,2,1,1,2.379151,0.537917,0.36195,64,1466,1530,38
1,0,2,0,3,1,2,-1.6651990000000003,0.494783,0.188839,53,1552,1605,39
1,0,2,0,4,1,1,-1.2156440000000002,0.437391,0.221935,47,1491,1538,40
1,0,2,0,5,1,1,0.887277000000001,0.506364,0.10855,149,1597,1746,41
1,0,2,0,6,0,1,2.4575,0.544167,0.203367,288,1184,1472,42
1,0,2,0,0,0,1,6.876534000000001,0.457391,0.260883,397,1192,1589,43
1,0,2,0,1,1,1,11.505,0.375833,0.417908,208,1705,1913,44
1,0,2,0,2,1,1,4.506089000000001,0.314348,0.291374,140,1675,1815,45
1,0,2,0,3,1,1,6.958267000000001,0.423478,0.251791,218,1897,2115,46
1,0,2,0,4,1,1,12.484151,0.505,0.230104,259,2216,2475,47
1,0,2,0,5,1,1,16.518349,0.516667,0.264925,579,2348,2927,48
1,0,2,0,6,0,1,10.760849,0.187917,0.507463,532,1103,1635,49
1,0,2,0,0,0,1,5.405199,0.407826,0.223235,639,1173,1812,50
1,0,2,1,1,0,2,6.2566510000000015,0.605,0.307846,195,912,1107,51
1,0,2,0,2,1,1,0.5644340000000003,0.577778,0.195683,74,1376,1450,52
1,0,2,0,3,1,1,2.421733,0.423043,0.094113,139,1778,1917,53
1,0,2,0,4,1,2,5.895644000000001,0.697391,0.250496,100,1707,1807,54
1,0,2,0,5,1,2,9.124356,0.712174,0.346539,120,1341,1461,55
1,0,2,0,6,0,1,5.277499999999998,0.537917,0.186571,424,1545,1969,56
1,0,2,0,0,0,1,8.143466,0.68,0.125248,694,1708,2402,57
1,0,2,0,1,1,2,11.141831,0.876364,0.289686,81,1365,1446,58
